"ID","Module","Feature","Description","Prerequisites","Steps","Input","Expected","Priority","Type","Status","Notes"
"TC-017","Tìm phòng","Bộ đếm Children (+/-)","Nút +/- điều chỉnh số trẻ em","Form tìm phòng hiển thị","1. Click nút '+' ở Children
2. Click nút '-' ở Children","Children ban đầu: 0","Click '+': tăng lên 1. Click '-': không giảm dưới 0.","Cao","Chức năng","Chưa kiểm tra",""
"TC-018","Tìm phòng","Giới hạn tối đa Adults/Children","Không vượt quá 10 người","Form tìm phòng hiển thị","1. Click '+' ở Adults liên tục cho đến 10
2. Click '+' thêm một lần nữa","Adults: 10","Nút '+' bị disable khi đạt max=10, không tăng thêm","Trung bình","Validation","Chưa kiểm tra",""
"TC-019","Tìm phòng","Quick presets - Tối nay (1 đêm)","Nút chọn nhanh '1 đêm' hoạt động đúng","Form tìm phòng hiển thị","1. Click nút 'Tối nay (1 đêm)'","—","Check-in tự động = hôm nay, Check-out = ngày mai","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-020","Tìm phòng","Quick presets - 2 đêm","Nút chọn nhanh '2 đêm' hoạt động đúng","Form tìm phòng hiển thị","1. Click nút '2 đêm'","—","Check-in = hôm nay, Check-out = ngày kia","Thấp","Chức năng","Chưa kiểm tra",""
"TC-021","Tìm phòng","Quick presets - Cuối tuần này","Nút 'Cuối tuần này' điền đúng ngày","Form tìm phòng hiển thị","1. Click nút 'Cuối tuần này'","—","Check-in = thứ 7 tuần này, Check-out = chủ nhật tuần này","Thấp","Chức năng","Chưa kiểm tra",""
"TC-022","Tìm phòng","Lọc theo loại phòng","Dropdown loại phòng hoạt động","Có ít nhất 2 loại phòng trong hệ thống","1. Click dropdown 'Loại phòng'
2. Chọn một loại phòng cụ thể
3. Click 'Tìm phòng trống'","Room type: Phòng Deluxe","Kết quả chỉ hiển thị phòng thuộc loại đã chọn","Cao","Chức năng","Chưa kiểm tra",""
"TC-023","Tìm phòng","Pre-fill từ URL params","Form tự động điền dữ liệu từ URL params","—","1. Truy cập URL: /tim-phong?check_in=2026-08-20&check_out=2026-08-22&adults=2&children=1","URL params: check_in, check_out, adults, children","Form tự động điền đúng các giá trị từ URL params","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-024","Tìm phòng","Kết quả - Phòng còn trống","Hiển thị danh sách phòng còn trống","Có phòng còn trống trong khoảng ngày tìm kiếm","1. Điền ngày hợp lệ
2. Click 'Tìm phòng trống'","Ngày có phòng trống","Hiển thị danh sách thẻ phòng: ảnh, tên phòng, loại, sức chứa, giá/đêm, nút 'Đặt ngay'","Cao","Chức năng","Chưa kiểm tra",""
"TC-025","Tìm phòng","Kết quả - Không có phòng trống","Thông báo khi không có phòng trống","Tất cả phòng đã được đặt trong khoảng ngày","1. Điền ngày đã full booking
2. Click 'Tìm phòng trống'","Ngày đã full phòng","Hiển thị thông báo 'Không tìm thấy phòng trống' phù hợp","Cao","Chức năng","Chưa kiểm tra",""
"TC-026","Tìm phòng","Loading skeleton","Skeleton loader hiển thị khi đang tải","Form đã điền hợp lệ","1. Click 'Tìm phòng trống'
2. Quan sát ngay sau click","—","Loading skeleton cards (3 cards mờ) hiển thị trong khi đang gọi API","Thấp","UI/UX","Chưa kiểm tra",""
"TC-027","Chi tiết phòng","Hiển thị trang phòng","Trang chi tiết phòng hiển thị đúng","Có ít nhất 1 phòng đã publish","1. Click vào một phòng
2. Quan sát trang chi tiết","URL phòng cụ thể","Hiển thị: ảnh phòng, tên, mô tả, tiện nghi, chính sách, sơ đồ phòng, sidebar đặt phòng","Cao","Chức năng","Chưa kiểm tra",""
"TC-028","Chi tiết phòng","Breadcrumb navigation","Breadcrumb hiển thị đúng","Đang ở trang chi tiết phòng","1. Quan sát breadcrumb
2. Click 'Phòng' trong breadcrumb","—","Breadcrumb: Trang chủ > Phòng > Tên phòng. Click 'Phòng' dẫn về archive phòng","Thấp","Chức năng","Chưa kiểm tra",""
"TC-029","Chi tiết phòng","Chọn phòng (room slot)","Click vào slot phòng để chọn/bỏ chọn","Trang chi tiết phòng đã load","1. Click vào slot phòng '101'
2. Click lại vào slot phòng '101'","Room slot: 101","Lần 1: Slot đổi màu xanh, thêm dấu tick. Lần 2: Slot trở về màu trắng, xóa tick. Sidebar cập nhật số phòng","Cao","Chức năng","Chưa kiểm tra",""
"TC-030","Chi tiết phòng","Phòng đã đặt (booked)","Slot phòng đã đặt không thể chọn","Có phòng đã được đặt (103, 106, 204 theo mặc định)","1. Quan sát slot phòng đã đặt
2. Thử click vào slot đó","Room slot: 103 (booked)","Slot màu xám, cursor not-allowed, disabled attribute. Click không có tác dụng","Cao","Chức năng","Chưa kiểm tra",""
"TC-031","Chi tiết phòng","Chọn nhiều phòng","Có thể chọn nhiều phòng cùng lúc","Trang chi tiết phòng, có nhiều slot phòng trống","1. Click phòng 101
2. Click phòng 102
3. Quan sát sidebar","Chọn 2 phòng: 101, 102","Cả 2 slot đều được chọn (màu xanh). Sidebar hiển thị '2 phòng' và cập nhật giá","Cao","Chức năng","Chưa kiểm tra",""
"TC-032","Chi tiết phòng","Nhập ngày nhận/trả phòng (sidebar)","Date picker trong sidebar hoạt động","Trang chi tiết phòng","1. Click ngày nhận phòng trong sidebar
2. Chọn ngày
3. Click ngày trả phòng
4. Chọn ngày","Check-in: 2026-08-20, Check-out: 2026-08-22","Ngày hiển thị đúng, tính toán số đêm = 2","Cao","Chức năng","Chưa kiểm tra",""
"TC-033","Chi tiết phòng","Tính giá tự động","Giá tự động tính khi chọn phòng và ngày","Đã chọn 1 phòng, đã nhập ngày","1. Chọn 1 phòng
2. Chọn check-in: 20/08, check-out: 22/08 (2 đêm)
3. Quan sát sidebar","Giá phòng: 1,500,000đ/đêm\n2 đêm, 1 phòng","Tạm tính = 3,000,000đ\nPhí thanh toán (5%) = 150,000đ\nTổng = 3,150,000đ","Cao","Chức năng","Chưa kiểm tra",""
"TC-034","Chi tiết phòng","Nút đặt phòng - Disabled khi chưa chọn phòng","Nút 'Tiếp tục thanh toán' disabled ban đầu","Trang chi tiết phòng, chưa chọn phòng","1. Quan sát nút 'Tiếp tục thanh toán'
2. Thử click","0 phòng được chọn","Nút disabled (opacity 50%, cursor not-allowed). Click không có tác dụng","Cao","Validation","Chưa kiểm tra",""
"TC-035","Chi tiết phòng","Nút đặt phòng - Enabled khi chọn phòng","Nút active sau khi chọn ít nhất 1 phòng","Đã chọn ít nhất 1 phòng","1. Click chọn phòng 101
2. Quan sát nút","1 phòng được chọn","Nút 'Tiếp tục thanh toán' chuyển sang active (không còn disabled)","Cao","Chức năng","Chưa kiểm tra",""
"TC-036","Chi tiết phòng","Form thông tin khách hàng - Submit đầy đủ","Đặt phòng thành công với đủ thông tin","Đã chọn phòng, nhập ngày","1. Nhập Họ tên
2. Nhập Số điện thoại
3. Nhập Email
4. Nhập Ghi chú (tùy chọn)
5. Click 'Tiếp tục thanh toán'","Họ tên: Nguyễn Văn A\nĐiện thoại: 0901234567\nEmail: test@email.com\nPhòng: 101\nCheck-in: 2026-08-20\nCheck-out: 2026-08-22","Gọi API process_booking, nhận booking_id, chuyển hướng đến trang tra cứu với params","Cao","Chức năng","Chưa kiểm tra",""
"TC-037","Chi tiết phòng","Form thông tin khách hàng - Thiếu tên","Validate khi thiếu họ tên","Đã chọn phòng","1. Bỏ trống Họ tên
2. Điền SĐT và Email
3. Click 'Tiếp tục thanh toán'","Họ tên: rỗng\nSĐT: 0901234567\nEmail: test@email.com","Alert 'Vui lòng điền đầy đủ thông tin và chọn phòng.'","Cao","Validation","Chưa kiểm tra",""
"TC-038","Chi tiết phòng","Form thông tin khách hàng - Thiếu SĐT","Validate khi thiếu số điện thoại","Đã chọn phòng","1. Điền tên
2. Bỏ trống SĐT
3. Điền Email
4. Click đặt phòng","Họ tên: Nguyễn Văn A\nSĐT: rỗng\nEmail: test@email.com","Alert 'Vui lòng điền đầy đủ thông tin và chọn phòng.'","Cao","Validation","Chưa kiểm tra",""
"TC-039","Chi tiết phòng","Form thông tin khách hàng - Thiếu Email","Validate khi thiếu email","Đã chọn phòng","1. Điền tên và SĐT
2. Bỏ trống Email
3. Click đặt phòng","Họ tên: Nguyễn Văn A\nSĐT: 0901234567\nEmail: rỗng","Alert 'Vui lòng điền đầy đủ thông tin và chọn phòng.'","Cao","Validation","Chưa kiểm tra",""
"TC-040","Chi tiết phòng","Pre-fill ngày từ URL params","Ngày tự động điền từ URL","—","1. Truy cập URL: /phong/deluxe?check_in=2026-08-20&check_out=2026-08-22","URL params: check_in, check_out","Sidebar tự động điền check-in và check-out từ params URL","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-041","Tra cứu đặt phòng","Hiển thị form tra cứu","Form tra cứu hiển thị đầy đủ","Truy cập trang /tra-cuu","1. Mở trang tra cứu","URL: /tra-cuu","Form hiển thị 2 trường: Số điện thoại (type=tel), Mã đặt phòng (type=text), nút 'Tra cứu ngay'","Cao","Chức năng","Chưa kiểm tra",""
"TC-042","Tra cứu đặt phòng","Tra cứu thành công","Tìm thấy thông tin đặt phòng hợp lệ","Có booking với SĐT 0901234567 và booking_id 123","1. Nhập SĐT: 0901234567
2. Nhập Mã đặt phòng: 123
3. Click 'Tra cứu ngay'","SĐT: 0901234567\nBooking ID: 123","Hiển thị kết quả: Tên khách hàng, Tên phòng, Check-in, Check-out, Badge trạng thái (Đã xác nhận/Chờ xử lý/Đã huỷ)","Cao","Chức năng","Chưa kiểm tra",""
"TC-043","Tra cứu đặt phòng","Tra cứu thất bại - Sai SĐT","Thông báo lỗi khi SĐT sai","—","1. Nhập SĐT sai: 0000000000
2. Nhập Mã đặt phòng: 123
3. Click 'Tra cứu ngay'","SĐT: 0000000000\nBooking ID: 123","Hiển thị thông báo lỗi 'Không tìm thấy thông tin', icon đỏ X","Cao","Chức năng","Chưa kiểm tra",""
"TC-044","Tra cứu đặt phòng","Tra cứu thất bại - Sai mã booking","Thông báo lỗi khi mã booking sai","—","1. Nhập SĐT đúng
2. Nhập mã sai: 9999
3. Click 'Tra cứu ngay'","SĐT: 0901234567\nBooking ID: 9999","Hiển thị thông báo 'Không tìm thấy thông tin'","Cao","Chức năng","Chưa kiểm tra",""
"TC-045","Tra cứu đặt phòng","Validate - Để trống cả 2 trường","Lỗi khi submit trống","Form tra cứu hiển thị","1. Không nhập gì
2. Click 'Tra cứu ngay'","SĐT: rỗng\nBooking ID: rỗng","Hiển thị lỗi 'Vui lòng điền đầy đủ số điện thoại và mã đặt phòng.'","Cao","Validation","Chưa kiểm tra",""
"TC-046","Tra cứu đặt phòng","Validate - Chỉ nhập SĐT","Lỗi khi thiếu mã booking","Form tra cứu hiển thị","1. Nhập SĐT: 0901234567
2. Không nhập mã
3. Click 'Tra cứu ngay'","SĐT: 0901234567\nBooking ID: rỗng","Hiển thị lỗi 'Vui lòng điền đầy đủ số điện thoại và mã đặt phòng.'","Cao","Validation","Chưa kiểm tra",""
"TC-047","Tra cứu đặt phòng","Loading spinner khi tra cứu","Spinner xuất hiện trong khi gọi API","Form đã điền đầy đủ","1. Click 'Tra cứu ngay'
2. Quan sát ngay sau click","—","Loading overlay với spinner animation xuất hiện, che phủ form card","Thấp","UI/UX","Chưa kiểm tra",""
"TC-048","Tra cứu đặt phòng","Lỗi kết nối mạng","Xử lý lỗi khi mất kết nối","Mất kết nối internet","1. Tắt internet
2. Nhập đầy đủ thông tin
3. Click 'Tra cứu ngay'","Không có kết nối","Hiển thị thông báo 'Lỗi kết nối. Vui lòng thử lại sau.'","Trung bình","Xử lý lỗi","Chưa kiểm tra",""
"TC-049","Tra cứu đặt phòng","Badge trạng thái - Đã xác nhận","Badge hiển thị đúng màu sắc","Có booking với status 'confirmed'","1. Tra cứu booking đã xác nhận","Status: confirmed","Badge màu xanh lá 'Đã xác nhận' hiển thị","Trung bình","UI/UX","Chưa kiểm tra",""
"TC-050","Tra cứu đặt phòng","Badge trạng thái - Đã huỷ","Badge huỷ màu đỏ","Có booking với status 'cancelled'","1. Tra cứu booking đã huỷ","Status: cancelled","Badge màu đỏ 'Đã huỷ' hiển thị","Trung bình","UI/UX","Chưa kiểm tra",""
"TC-051","Tra cứu đặt phòng","Auto-lookup từ URL params","Tra cứu tự động khi có URL params","—","1. Truy cập: /tra-cuu?phone=0901234567&booking_id=123","URL params: phone, booking_id","Form tự động điền và thực hiện tra cứu ngay khi trang load","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-052","Liên hệ","Hiển thị trang liên hệ","Trang liên hệ hiển thị đầy đủ","Truy cập trang /lien-he","1. Mở trang liên hệ","URL: /lien-he","Hiển thị: Hero, 3 info cards (Giờ làm việc, Hotline, Email), Form liên hệ, Bản đồ Google Maps","Cao","Chức năng","Chưa kiểm tra",""
"TC-053","Liên hệ","Form - Gửi thành công","Gửi form liên hệ với đầy đủ trường bắt buộc","Trang liên hệ đã load, server email hoạt động","1. Nhập Họ tên
2. Nhập Email
3. Nhập SĐT (tùy chọn)
4. Nhập Chủ đề (tùy chọn)
5. Nhập Lời nhắn
6. Click 'Gửi tin nhắn ngay'","Họ tên: Nguyễn Văn A\nEmail: test@gmail.com\nLời nhắn: Tôi cần hỗ trợ","Hiển thị thông báo xanh '✅ Gửi thành công! Chúng tôi sẽ phản hồi trong 2–4 giờ.'","Cao","Chức năng","Chưa kiểm tra",""
"TC-054","Liên hệ","Form - Thiếu Họ tên (required)","Validate trường Họ tên bắt buộc","Trang liên hệ","1. Bỏ trống Họ tên
2. Nhập Email và Lời nhắn
3. Submit","Họ tên: rỗng","Thông báo '⚠ Vui lòng điền đầy đủ: Họ tên, Email và Lời nhắn.'","Cao","Validation","Chưa kiểm tra",""
"TC-055","Liên hệ","Form - Thiếu Email (required)","Validate trường Email bắt buộc","Trang liên hệ","1. Nhập Họ tên và Lời nhắn
2. Bỏ trống Email
3. Submit","Email: rỗng","Thông báo '⚠ Vui lòng điền đầy đủ: Họ tên, Email và Lời nhắn.'","Cao","Validation","Chưa kiểm tra",""
"TC-056","Liên hệ","Form - Thiếu Lời nhắn (required)","Validate trường Lời nhắn bắt buộc","Trang liên hệ","1. Nhập Họ tên và Email
2. Bỏ trống Lời nhắn
3. Submit","Lời nhắn: rỗng","Thông báo '⚠ Vui lòng điền đầy đủ: Họ tên, Email và Lời nhắn.'","Cao","Validation","Chưa kiểm tra",""
"TC-057","Liên hệ","Form - Email không hợp lệ","Validate định dạng Email","Trang liên hệ","1. Nhập Email không đúng định dạng
2. Submit","Email: 'abc123' (không có @)","HTML5 email validation ngăn submit, thông báo lỗi định dạng email","Cao","Validation","Chưa kiểm tra",""
"TC-058","Liên hệ","Giữ dữ liệu sau lỗi","Dữ liệu form được giữ lại sau submit lỗi","Submit form thiếu thông tin","1. Nhập Họ tên và Email
2. Bỏ trống Lời nhắn
3. Submit
4. Quan sát form","Họ tên: 'Nguyễn A'\nEmail: 'test@mail.com'\nLời nhắn: rỗng","Sau submit thất bại, Họ tên và Email vẫn còn trong form","Trung bình","UX","Chưa kiểm tra",""
"TC-059","Liên hệ","Bản đồ Google Maps","Google Maps embed hiển thị (nếu có API key)","Google Maps API Key đã được cài đặt trong Customizer","1. Mở trang liên hệ
2. Scroll xuống phần bản đồ","API Key hợp lệ","Bản đồ Google Maps nhúng (iframe) hiển thị đúng vị trí","Thấp","Chức năng","Chưa kiểm tra",""
"TC-060","Liên hệ","Social links","Các nút mạng xã hội dẫn đến đúng URL","Trang liên hệ, social links đã cấu hình","1. Click icon Facebook
2. Kiểm tra URL mở ra","Facebook URL đã cài đặt","Mỗi icon mạng xã hội (Facebook, Instagram, YouTube, Zalo) mở đúng URL trong tab mới","Thấp","Chức năng","Chưa kiểm tra",""
"TC-061","Popup Tư vấn","Tự động xuất hiện","Popup tự động mở sau thời gian delay","Website load xong, delay = 5 giây (mặc định)","1. Mở bất kỳ trang nào
2. Chờ 5 giây","Delay: 5 giây","Popup tư vấn tự động xuất hiện sau 5 giây (nếu chưa bị dismiss)","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-062","Popup Tư vấn","Nút trigger (góc phải)","Click nút trigger mở popup","Popup chưa mở","1. Tìm nút 'TƯ VẤN' góc phải màn hình
2. Click vào nút","—","Popup tư vấn mở ra với animation","Cao","Chức năng","Chưa kiểm tra",""
"TC-063","Popup Tư vấn","Đóng popup","Click nút X đóng popup","Popup đang mở","1. Click nút X (close button) trên popup","—","Popup đóng lại, không xuất hiện lại trong session","Cao","Chức năng","Chưa kiểm tra",""
"TC-064","Popup Tư vấn","Submit form - Thành công","Gửi form tư vấn với đủ thông tin","Popup đang mở","1. Nhập Họ tên: Nguyễn Văn A
2. Nhập SĐT: 0901234567
3. Nhập Email (tùy chọn)
4. Nhập Lời nhắn (tùy chọn)
5. Click 'Gửi Đăng Ký'","Họ tên: Nguyễn Văn A\nSĐT: 0901234567","Hiển thị thông báo thành công 'Cảm ơn bạn! Chúng tôi sẽ liên hệ trong thời gian sớm nhất.'","Cao","Chức năng","Chưa kiểm tra",""
"TC-065","Popup Tư vấn","Submit form - Thiếu Họ tên","Validate Họ tên bắt buộc","Popup đang mở","1. Bỏ trống Họ tên
2. Nhập SĐT
3. Submit","Họ tên: rỗng\nSĐT: 0901234567","Hiển thị lỗi 'Vui lòng nhập họ tên.'","Cao","Validation","Chưa kiểm tra",""
"TC-066","Popup Tư vấn","Submit form - Thiếu SĐT","Validate SĐT bắt buộc","Popup đang mở","1. Nhập Họ tên
2. Bỏ trống SĐT
3. Submit","Họ tên: Nguyễn Văn A\nSĐT: rỗng","Hiển thị lỗi 'Vui lòng nhập số điện thoại.'","Cao","Validation","Chưa kiểm tra",""
"TC-067","Popup Tư vấn","Submit form - SĐT không hợp lệ","Validate định dạng SĐT","Popup đang mở","1. Nhập Họ tên
2. Nhập SĐT: 'abc123'
3. Submit","SĐT: abc123 (sai định dạng)","Hiển thị lỗi 'Số điện thoại không hợp lệ.' (regex: 9-15 ký tự số)","Cao","Validation","Chưa kiểm tra",""
"TC-068","Popup Tư vấn","Loading state khi submit","Nút đổi sang loading khi submit","Popup, form hợp lệ","1. Điền đầy đủ thông tin
2. Click 'Gửi Đăng Ký'
3. Quan sát ngay sau click","—","Nút đổi thành spinner + 'Đang gửi...'","Thấp","UI/UX","Chưa kiểm tra",""
"TC-069","Popup Tư vấn","Lưu lead vào database","Form tư vấn được lưu trong admin","Đã gửi form tư vấn thành công","1. Gửi form tư vấn
2. Vào WordPress Admin > Tư vấn Leads","—","Lead mới xuất hiện trong danh sách 'Tư vấn Leads' với đầy đủ: họ tên, SĐT, email, lời nhắn, thời gian","Cao","Chức năng","Chưa kiểm tra",""
"TC-070","Popup Tư vấn","Gửi email thông báo admin","Admin nhận email khi có lead mới","Email admin đã cấu hình, form tư vấn gửi thành công","1. Gửi form tư vấn
2. Kiểm tra email admin","—","Admin nhận email với tiêu đề '[TenSite] Đăng ký tư vấn mới từ {Tên khách}'","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-071","Thanh toán","Hiển thị tùy chọn thanh toán","3 phương thức thanh toán hiển thị","Đang ở trang/bước thanh toán","1. Mở bước thanh toán","—","Hiển thị 3 tùy chọn: Credit Card (Visa/Master/JCB), Bank Transfer (NAPAS), VNPay/Momo","Cao","Chức năng","Chưa kiểm tra",""
"TC-072","Thanh toán","Chọn phương thức Credit Card","Radio button Credit Card chọn được","Trang thanh toán","1. Click vào 'Credit Card'","—","Radio button 'Credit Card' được chọn (mặc định), viền card đổi màu xanh","Cao","Chức năng","Chưa kiểm tra",""
"TC-073","Thanh toán","Chọn phương thức Bank Transfer","Radio button Bank Transfer chọn được","Trang thanh toán","1. Click vào 'Bank Transfer'","—","Radio button 'Bank Transfer' được chọn, Credit Card bị deselect","Cao","Chức năng","Chưa kiểm tra",""
"TC-074","Thanh toán","Chọn phương thức VNPay/Momo","Radio button VNPay/Momo chọn được","Trang thanh toán","1. Click vào 'VNPay / Momo'","—","Radio button 'VNPay/Momo' được chọn","Cao","Chức năng","Chưa kiểm tra",""
"TC-075","Thanh toán","Nút 'Proceed to Payment'","Click nút tiến hành thanh toán","Đã chọn phương thức thanh toán","1. Chọn phương thức
2. Click 'Proceed to Payment'","Payment method: credit_card","Điều hướng đến trang thanh toán tương ứng hoặc hiển thị thông tin thanh toán","Cao","Chức năng","Chưa kiểm tra",""
"TC-076","Kiểm tra phòng trống","AJAX endpoint hoạt động","API check availability trả về JSON","Server WordPress hoạt động","1. Gọi AJAX: action=bookingroom_check_availability với check_in, check_out, adults","check_in: 2026-08-20\ncheck_out: 2026-08-22\nadults: 2","API trả về JSON với danh sách phòng trống (array)","Cao","API","Chưa kiểm tra",""
"TC-077","Kiểm tra phòng trống","Phòng đủ sức chứa","Chỉ hiển thị phòng đủ sức chứa","Có phòng với capacity=2 và phòng với capacity=4","1. Tìm phòng với adults=4, children=0
2. Kiểm tra kết quả","adults: 4, children: 0","Kết quả chỉ hiển thị phòng có sức chứa >= 4","Cao","Logic nghiệp vụ","Chưa kiểm tra",""
"TC-078","Kiểm tra phòng trống","Tính giá cuối tuần","Giá cuối tuần khác giá thường","Phòng có cài đặt giá cuối tuần khác giá bình thường","1. Tìm phòng với ngày bao gồm cuối tuần
2. So sánh giá với ngày thường","Check-in: thứ 6, Check-out: thứ 2 (3 đêm, 2 đêm cuối tuần)","Giá tính đúng: 2 đêm × weekend_price + 1 đêm × weekday_price","Cao","Logic nghiệp vụ","Chưa kiểm tra",""
"TC-079","Kiểm tra phòng trống","Sắp xếp kết quả","Phòng còn trống lên đầu, theo giá tăng dần","Có mix phòng trống và đã đặt","1. Tìm phòng
2. Kiểm tra thứ tự kết quả","—","Phòng còn trống (free_units > 0) luôn hiển thị trước phòng đã hết (free_units = 0). Trong cùng nhóm, sắp xếp theo giá tăng dần","Trung bình","Logic nghiệp vụ","Chưa kiểm tra",""
"TC-080","Kiểm tra phòng trống","Nonce validation","Kiểm tra bảo mật nonce","Form tìm phòng","1. Gọi AJAX không có nonce
2. Gọi AJAX với nonce sai","Nonce: rỗng / sai","Server trả về lỗi 403/400, không xử lý request","Cao","Bảo mật","Chưa kiểm tra",""
